"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Elder Auntie","R","C","100517","6.43","13958","8.96","2508","61.5%","50.6%","431","","575","50.6%","1006","50.5%","1497","50.6%","-0.1pp"
"End-Blaze Epiphany","R","R","5852","2.62","2637","2.81","988","100.0%","56.0%","169","","247","","416","","572","54.4%",""
"Enraged Flamecaster","R","C","103750","6.75","12861","9.69","1341","41.1%","52.4%","266","","296","","562","52.0%","776","52.7%","-0.7pp"
"Explosive Prodigy","R","U","23371","3.80","7335","4.38","1814","91.5%","55.3%","336","","440","","776","58.6%","1029","52.8%","5.9pp"
"Feed the Flames","R","C","82934","4.96","15264","6.55","4338","88.0%","52.1%","728","51.5%","1086","54.8%","1814","53.5%","2524","51.1%","2.4pp"
"Flame-Chain Mauler","R","C","105232","6.71","15534","9.33","3819","73.8%","50.5%","659","47.0%","899","50.1%","1558","48.8%","2246","51.7%","-2.9pp"
"Flamebraider","R","U","26388","4.34","7142","5.04","1248","83.1%","55.1%","214","","328","","542","55.2%","700","55.1%","0.0pp"
"Flamekin Gildweaver","R","C","102149","6.38","16398","8.60","2952","67.0%","51.5%","527","52.4%","727","52.8%","1254","52.6%","1685","50.5%","2.1pp"
"Giantfall","R","U","30481","4.76","5523","6.20","1713","82.5%","49.8%","262","","391","","653","50.5%","1060","49.3%","1.2pp"
"Goatnap","R","U","43700","7.31","4822","10.85","172","14.1%","","26","","32","","58","","114","",""
"Goliath Daydreamer","R","R","5598","2.68","2145","2.83","1048","96.6%","51.9%","170","","242","","412","","644","49.4%",""
"Gristle Glutton","R","C","103948","6.65","15840","9.04","3495","73.3%","52.4%","618","54.9%","861","54.8%","1479","54.8%","2012","50.6%","4.2pp"
"Hexing Squelcher","R","R","6542","2.95","1522","3.59","661","94.6%","49.0%","105","","151","","256","","406","",""
"Impolite Entrance","R","U","43247","7.02","4972","10.30","427","32.7%","","71","","91","","162","","265","",""
"Kindle the Inner Flame","R","U","41279","6.76","5294","9.65","202","18.7%","","30","","50","","80","","121","",""
"Kulrath Zealot","R","C","96454","5.85","17074","7.81","4076","80.7%","53.9%","728","54.9%","943","57.4%","1671","56.3%","2393","51.9%","4.4pp"
"Lasting Tarfire","R","U","39095","6.54","4995","9.23","433","40.1%","","71","","100","","171","","262","",""
"Lavaleaper","R","R","13606","5.14","1677","7.77","185","36.6%","","31","","47","","78","","107","",""
"Meek Attack","R","M","8367","5.34","1043","8.13","3","","","1","","0","","1","","2","",""
"Reckless Ransacking","R","C","112431","7.70","12657","11.29","1021","29.6%","50.0%","187","","230","","417","","604","48.3%",""
"Scuzzback Scrounger","R","R","6719","2.97","2037","3.37","931","98.8%","52.5%","173","","233","","406","","524","50.4%",""
"Sear","R","U","17620","2.95","6248","3.38","2360","100.0%","51.8%","421","","578","57.8%","999","56.1%","1361","48.7%","7.3pp"
"Sizzling Changeling","R","U","27971","4.34","6588","5.35","2502","97.9%","52.3%","437","","635","54.3%","1072","52.0%","1413","52.4%","-0.5pp"
"Soul Immolation","R","M","2640","2.34","1273","2.48","581","98.6%","54.7%","110","","142","","252","","329","",""
"Soulbright Seeker","R","U","35026","5.53","6140","7.24","1124","72.0%","51.2%","176","","281","","457","","660","51.2%",""
"Sourbread Auntie","R","U","28627","4.76","5822","5.89","1530","84.0%","51.6%","247","","417","","664","53.3%","861","50.4%","2.9pp"
"Spinerock Tyrant","R","M","1852","1.73","1035","1.80","544","100.0%","59.7%","107","","145","","252","","300","",""
"Squawkroaster","R","U","34553","5.41","5296","7.36","687","56.5%","50.8%","125","","159","","284","","404","",""
"Sting-Slinger","R","U","34188","5.48","5316","7.34","1467","80.8%","49.6%","249","","362","","611","50.4%","858","49.2%","1.2pp"
"Tweeze","R","C","76155","4.58","15283","5.94","5207","94.2%","51.8%","921","53.0%","1230","52.2%","2151","52.5%","3056","51.3%","1.2pp"
"Warren Torchmaster","R","U","36104","5.70","5446","7.71","1434","77.2%","51.5%","254","","339","","593","51.1%","841","51.7%","-0.6pp"
"Assert Perfection","G","C","69277","4.09","18561","5.03","4","","","1","","1","","2","","2","",""
"Aurora Awakener","G","M","1882","1.75","1231","1.78","76","","","20","","20","","40","","36","",""
"Bloom Tender","G","M","2473","2.09","1002","2.24","0","","","0","","0","","0","","0","",""
"Blossoming Defense","G","U","30685","4.64","6416","5.95","0","","","0","","0","","0","","0","",""
"Bristlebane Battler","G","R","3751","1.95","1893","2.08","19","","","2","","5","","7","","12","",""
"Bristlebane Outrider","G","U","28314","4.45","6030","5.55","0","","","0","","0","","0","","0","",""
"Celestial Reunion","G","M","5236","3.67","938","4.72","3","","","0","","2","","2","","1","",""
"Champions of the Perfect","G","R","3967","2.06","1906","2.16","10","","","5","","4","","9","","2","",""
"Chomping Changeling","G","U","31099","4.69","4661","6.47","15","","","2","","2","","4","","11","",""
"Crossroads Watcher","G","C","98386","5.93","14996","8.23","0","0.0%","","0","","0","","0","","0","",""
"Dawn's Light Archer","G","C","102079","6.18","15070","8.72","0","","","0","","0","","0","","0","",""
"Dundoolin Weaver","G","U","23373","3.65","6658","4.37","17","","","1","","4","","5","","12","",""
"Formidable Speaker","G","R","4017","2.01","2034","2.12","0","","","0","","0","","0","","0","",""
"Gilt-Leaf's Embrace","G","C","109630","6.91","13923","9.99","0","0.0%","","0","","0","","0","","0","",""
"Great Forest Druid","G","C","78666","4.73","14684","6.26","9","","","4","","1","","5","","4","",""
"Luminollusk","G","U","36759","5.53","5563","7.69","36","","","6","","13","","19","","17","",""
"Lys Alana Dignitary","G","U","26348","4.18","6579","4.99","0","","","0","","0","","0","","0","",""
"Lys Alana Informant","G","C","86840","5.11","17824","6.67","0","","","0","","0","","0","","0","",""
"Midnight Tilling","G","C","107093","6.88","17549","9.27","0","0.0%","","0","","0","","0","","0","",""
"Mistmeadow Council","G","C","89249","5.35","17045","6.99","28","4.9%","","6","","4","","10","","18","",""
"Moon-Vigil Adherents","G","U","20592","3.45","6290","3.90","7","","","0","","2","","2","","5","",""
"Morcant's Eyes","G","U","27008","4.48","7185","5.09","0","","","0","","0","","0","","0","",""
"Mutable Explorer","G","R","4774","2.37","1951","2.51","7","","","0","","1","","1","","6","",""
"Pitiless Fists","G","U","24293","3.83","6907","4.51","6","","","1","","1","","2","","4","",""
"Prismabasher","G","U","25994","4.08","6465","4.92","30","","","6","","6","","12","","18","",""
"Prismatic Undercurrents","G","U","38676","6.15","4996","8.88","8","","","3","","1","","4","","4","",""
"Pummeler for Hire","G","U","25957","4.11","6300","5.02","69","","","11","","22","","33","","36","",""
"Safewright Cavalry","G","C","92371","5.59","16592","7.49","0","","","0","","0","","0","","0","",""
"Sapling Nursery","G","R","5730","2.72","1971","2.91","0","","","0","","0","","0","","0","",""
"Selfless Safewright","G","R","4699","2.26","2095","2.43","0","","","0","","0","","0","","0","",""
"Shimmerwilds Growth","G","U","32211","5.01","5521","6.57","21","","","5","","6","","11","","10","",""
"Spry and Mighty","G","R","6808","2.91","2411","3.21","40","","","9","","8","","17","","23","",""
"Surly Farrier","G","C","101057","6.18","14646","8.62","0","0.0%","","0","","0","","0","","0","",""
"Tend the Sprigs","G","C","105104","6.65","12186","9.84","15","2.5%","","2","","4","","6","","9","",""
"Thoughtweft Charge","G","U","34071","5.07","5568","6.87","0","","","0","","0","","0","","0","",""
"Trystan, Callous Cultivator","G","R","5349","2.52","2167","2.78","0","","","0","","0","","0","","0","",""
"Unforgiving Aim","G","C","108980","6.95","12386","10.36","0","0.0%","","0","","0","","0","","0","",""
"Vinebred Brawler","G","U","30480","4.78","5912","6.16","0","","","0","","0","","0","","0","",""
"Virulent Emissary","G","U","21422","3.43","6316","4.06","0","","","0","","0","","0","","0","",""
"Wildvine Pummeler","G","C","98913","5.87","13865","8.43","97","12.8%","","19","","26","","45","","53","",""
"Abigale, Eloquent First-Year","WB","R","3265","1.66","2061","1.72","482","","","84","","131","","215","","268","",""
"Ashling's Command","UR","R","5422","2.60","2460","2.77","196","","","27","","59","","86","","109","",""
"Boggart Cursecrafter","BR","U","25736","4.40","5560","5.26","34","","","4","","9","","13","","21","",""
"Bre of Clan Stoutarm","WR","R","5389","2.67","1960","2.91","2166","100.0%","53.1%","386","","537","62.2%","923","58.8%","1264","49.2%","9.6pp"
"Brigid's Command","WG","R","6157","2.83","2047","3.23","38","","","5","","6","","11","","27","",""
"Catharsis","WR","M","2128","1.97","938","2.05","1004","100.0%","53.2%","151","","243","","394","","605","48.6%",""
"Chaos Spewer","BR","C","101292","6.34","12448","9.16","1152","46.8%","50.5%","194","","316","","510","51.0%","644","50.2%","0.8pp"
"Chitinous Graspling","UG","C","102647","5.89","14230","8.68","13","","","2","","5","","7","","5","",""
"Deceit","UB","M","1886","1.69","1154","1.71","5","","","0","","0","","0","","5","",""
"Deepchannel Duelist","WU","U","22035","3.87","6566","4.35","0","","","0","","0","","0","","0","",""
"Deepway Navigator","WU","R","7471","3.37","2163","3.88","4","","","1","","1","","2","","2","",""
"Doran, Besieged by Time","WBG","R","7735","3.35","1968","3.77","13","","","1","","7","","8","","5","",""
"Dream Harvest","UB","R","10582","3.83","2058","4.87","3","","","1","","1","","2","","1","",""
"Eclipsed Boggart","BR","U","28645","4.62","5924","5.66","131","24.0%","","26","","31","","57","","74","",""
"Eclipsed Elf","BG","U","21422","3.57","6914","4.05","0","","","0","","0","","0","","0","",""
"Eclipsed Flamekin","UR","U","26709","4.29","7391","5.05","671","72.2%","54.1%","132","","148","","280","","382","",""
"Eclipsed Kithkin","WG","U","21852","3.61","6598","4.19","485","75.4%","","92","","105","","197","","287","",""
"Eclipsed Merrow","WU","U","24685","4.07","7112","4.65","78","","","8","","22","","30","","46","",""
"Emptiness","WB","M","1670","1.57","1022","1.58","149","","","34","","27","","61","","87","",""
"Feisty Spikeling","WR","C","95804","5.39","14631","7.67","3628","81.5%","51.2%","638","50.9%","854","49.8%","1492","50.3%","2122","51.9%","-1.6pp"
"Figure of Fable","WG","R","3084","1.63","2071","1.67","518","95.4%","53.3%","95","","136","","231","","286","",""
"Flaring Cinder","UR","C","101920","6.38","16383","8.71","1053","41.2%","55.4%","190","","248","","438","","605","54.9%",""
"Gangly Stompling","RG","C","99062","5.58","15267","8.05","1888","72.6%","51.0%","322","","464","","786","51.3%","1094","50.9%","0.4pp"
"Glister Bairn","UG","U","33213","5.11","5437","6.97","0","","","0","","0","","0","","0","",""
"Grub's Command","BR","R","6838","3.12","2143","3.53","91","","","15","","24","","39","","51","",""
"High Perfect Morcant","BG","R","4566","2.35","1861","2.53","0","","","0","","0","","0","","0","",""
"Hovel Hurler","WR","U","24550","3.83","5647","4.78","2987","96.7%","51.5%","483","","740","56.5%","1223","53.1%","1784","50.6%","2.5pp"
"Kirol, Attentive First-Year","WR","R","6995","2.97","2319","3.39","932","91.8%","50.4%","157","","234","","391","","545","49.5%",""
"Lluwen, Imperfect Naturalist","BG","R","4928","2.34","2074","2.56","0","","","0","","0","","0","","0","",""
"Maralen, Fae Ascendant","UBG","R","5207","2.52","2094","2.71","0","","","0","","0","","0","","0","",""
"Merrow Skyswimmer","WU","C","82317","4.83","18143","6.22","1507","68.5%","48.9%","268","","358","","626","47.9%","880","49.7%","-1.7pp"
"Mischievous Sneakling","UB","C","87968","4.82","16877","6.65","4","","","0","","1","","1","","3","",""
"Morcant's Loyalist","BG","U","18886","3.32","6462","3.72","0","","","0","","0","","0","","0","",""
"Noggle Robber","RG","U","26631","4.05","6839","5.03","910","87.6%","52.4%","173","","211","","384","","527","53.9%",""
"Prideful Feastling","WB","C","87654","4.77","13976","6.85","1761","79.7%","50.5%","325","","403","","728","51.4%","1022","49.9%","1.5pp"
"Raiding Schemes","RG","R","17616","5.88","2230","8.85","7","","","4","","1","","5","","2","",""
"Reaping Willow","WB","U","20350","3.31","5669","3.96","921","91.3%","53.2%","145","","232","","377","","546","50.4%",""
"Sanar, Innovative First-Year","UR","R","4391","2.14","2613","2.22","446","","","67","","123","","190","","259","",""
"Shadow Urchin","BR","R","5762","2.64","2010","2.85","505","98.1%","49.9%","99","","122","","221","","286","",""
"Stoic Grove-Guide","BG","C","96451","5.69","14573","8.00","0","","","0","","0","","0","","0","",""
"Sygg's Command","WU","R","6946","3.08","2099","3.53","33","","","4","","6","","10","","23","",""
"Tam, Mindful First-Year","UG","R","4007","2.02","2135","2.07","24","","","3","","13","","16","","9","",""
"Thoughtweft Lieutenant","WG","U","23742","4.06","5955","4.74","26","","","3","","8","","11","","15","",""
"Trystan's Command","BG","R","4636","2.30","2254","2.45","0","","","0","","0","","0","","0","",""
"Twinflame Travelers","UR","U","26503","4.41","6636","5.16","111","","","19","","25","","44","","67","",""
"Vibrance","RG","M","1787","1.64","1083","1.70","207","","","31","","57","","88","","119","",""
"Voracious Tome-Skimmer","UB","U","32690","5.27","5192","7.03","0","","","0","","0","","0","","0","",""
"Wary Farmer","WG","C","92762","5.47","15032","7.52","1225","55.4%","50.9%","203","","288","","491","","731","49.7%",""
"Wistfulness","UG","M","1741","1.61","1140","1.67","3","","","0","","2","","2","","1","",""
