"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Reaping Willow","WB","U","20350","3.31","5669","3.96","28876","78.7%","54.2%","4809","53.7%","7424","59.2%","12233","57.1%","16719","52.1%","5.0pp"
"Sanar, Innovative First-Year","UR","R","4391","2.14","2613","2.22","19343","91.9%","56.1%","3356","58.3%","5281","62.0%","8637","60.6%","10691","52.4%","8.1pp"
"Shadow Urchin","BR","R","5762","2.64","2010","2.85","12340","83.9%","52.1%","2159","52.2%","3228","53.7%","5387","53.1%","7027","51.2%","1.9pp"
"Stoic Grove-Guide","BG","C","96451","5.69","14573","8.00","56655","61.2%","55.6%","9382","52.4%","12978","54.4%","22360","53.5%","33670","56.7%","-3.1pp"
"Sygg's Command","WU","R","6946","3.08","2099","3.53","12324","74.1%","56.3%","2074","56.6%","3108","59.3%","5182","58.2%","6748","54.0%","4.2pp"
"Tam, Mindful First-Year","UG","R","4007","2.02","2135","2.07","15206","94.1%","53.8%","2754","53.4%","3868","55.1%","6622","54.4%","8616","53.4%","1.0pp"
"Thoughtweft Lieutenant","WG","U","23742","4.06","5955","4.74","29783","74.1%","56.6%","5382","59.8%","6865","58.1%","12247","58.8%","16916","54.7%","4.1pp"
"Trystan's Command","BG","R","4636","2.30","2254","2.45","16731","85.7%","57.6%","2844","60.2%","4206","66.0%","7050","63.7%","9369","52.4%","11.3pp"
"Twinflame Travelers","UR","U","26503","4.41","6636","5.16","33139","77.0%","55.4%","5552","55.7%","9480","59.4%","15032","58.0%","17429","52.6%","5.5pp"
"Vibrance","RG","M","1787","1.64","1083","1.70","8746","89.2%","56.4%","1549","60.5%","2262","62.5%","3811","61.7%","4766","51.7%","10.0pp"
"Voracious Tome-Skimmer","UB","U","32690","5.27","5192","7.03","13795","43.0%","50.8%","2496","51.8%","3615","54.3%","6111","53.3%","7723","48.8%","4.4pp"
"Wary Farmer","WG","C","92762","5.47","15032","7.52","63200","66.0%","55.1%","11380","55.4%","14465","55.5%","25845","55.5%","36607","54.7%","0.8pp"
"Wistfulness","UG","M","1741","1.61","1140","1.67","9147","91.2%","55.7%","1520","59.1%","2463","61.9%","3983","60.8%","5067","51.4%","9.5pp"
"Chronicle of Victory","","M","1284","1.24","1117","1.24","9974","97.9%","56.7%","1671","60.5%","2625","64.6%","4296","63.0%","5721","52.0%","11.0pp"
"Dawn-Blessed Pennant","","U","37579","5.56","4925","8.17","11685","38.0%","54.2%","2046","52.4%","2918","56.4%","4964","54.8%","6724","53.9%","0.9pp"
"Firdoch Core","","C","107129","6.48","12721","9.67","21770","27.9%","49.7%","4037","48.1%","5397","51.9%","9434","50.3%","12099","49.0%","1.2pp"
"Foraging Wickermaw","","C","105780","6.32","18307","8.69","59171","52.0%","52.2%","11416","53.3%","14759","53.9%","26175","53.7%","32993","51.1%","2.6pp"
"Gathering Stone","","U","28694","4.47","7377","5.33","37488","77.9%","56.9%","6333","58.2%","9337","59.9%","15670","59.2%","21912","55.2%","4.0pp"
"Mirrormind Crown","","R","15858","5.32","1787","8.31","642","5.9%","42.4%","87","","167","","254","","389","",""
"Puca's Eye","","U","44062","6.92","6351","9.70","9119","23.1%","51.7%","1601","50.3%","2463","57.5%","4064","54.6%","5056","49.4%","5.2pp"
"Springleaf Drum","","U","40179","6.07","4863","8.94","9076","30.2%","50.5%","1625","53.0%","2250","47.7%","3875","49.9%","5203","51.0%","-1.0pp"
"Stalactite Dagger","","C","110146","6.76","13951","9.89","22337","25.5%","52.2%","4033","49.6%","5251","53.2%","9284","51.7%","13057","52.6%","-0.9pp"
"Blood Crypt","","R","11477","4.02","2095","5.44","7255","55.7%","52.2%","1357","52.2%","1730","50.4%","3087","51.2%","4095","52.8%","-1.6pp"
"Eclipsed Realms","","U","36669","5.20","4374","7.73","19196","68.9%","54.1%","3582","53.5%","4531","53.5%","8113","53.5%","11037","54.5%","-1.0pp"
"Evolving Wilds","","C","84899","4.59","17849","6.30","105545","93.8%","54.5%","19631","56.5%","25342","52.9%","44973","54.5%","60400","54.5%","0.0pp"
"Hallowed Fountain","","R","10884","3.82","2209","5.05","8925","65.6%","53.4%","1687","53.0%","2179","53.0%","3866","53.0%","4965","53.6%","-0.7pp"
"Overgrown Tomb","","R","10134","3.57","2112","4.58","9571","72.8%","54.0%","1700","55.5%","2217","54.1%","3917","54.7%","5557","53.4%","1.3pp"
"Steam Vents","","R","11717","3.94","2421","5.18","9468","62.8%","52.9%","1757","54.0%","2526","52.4%","4283","53.0%","5069","52.6%","0.5pp"
"Temple Garden","","R","10429","3.67","2015","4.80","8364","66.6%","53.1%","1545","54.9%","1921","52.2%","3466","53.4%","4823","52.9%","0.6pp"
"Idyllic Tutor","W","R","827","5.46","97","","20","3.3%","","5","","5","","10","","10","",""
"Kinsbaile Cavalier","W","R","553","4.01","93","","320","50.8%","","53","","74","","127","","187","",""
"Mistbind Clique","U","R","416","","96","","353","52.5%","","55","","91","","146","","211","",""
"Wanderwine Prophets","U","R","512","3.89","90","","268","49.9%","","41","","60","","101","","164","",""
"Bitterblossom","B","M","165","","99","","723","87.3%","53.1%","106","","208","","314","","411","",""
"Faerie Macabre","B","C","1018","6.33","105","","37","5.4%","","4","","10","","14","","23","",""
"Goblin Chieftain","R","R","424","","97","","439","64.1%","","57","","116","","173","","256","",""
"Goblin Sharpshooter","R","R","383","","130","","758","80.0%","58.0%","144","","202","","346","","401","",""
"Heat Shimmer","R","R","770","5.20","92","","59","11.4%","","6","","18","","24","","36","",""
"Devoted Druid","G","U","525","3.69","111","","579","79.5%","52.5%","105","","138","","243","","333","",""
"Helix Pinnacle","G","R","908","5.90","88","","2","0.4%","","0","","0","","0","","2","",""
"Leaf-Crowned Visionary","G","R","313","","118","","827","84.5%","57.1%","154","","205","","359","","447","",""
"Regal Force","G","R","442","","118","","543","76.7%","51.0%","89","","125","","214","","326","",""
"Manamorphose","RG","U","774","4.61","121","","330","45.1%","","68","","75","","143","","187","",""
"Risen Reef","UG","U","521","3.68","126","","666","74.4%","56.2%","123","","169","","292","","358","",""
"Slippery Bogle","UG","U","907","5.88","104","","76","11.3%","","11","","19","","30","","46","",""
"Dolmen Gate","","R","377","","55","","225","","","39","","61","","100","","125","",""
"Door of Destinies","","R","226","","95","","511","82.8%","48.7%","89","","148","","237","","277","",""
"Painter's Servant","","M","665","4.41","94","","133","23.9%","","24","","36","","60","","73","",""
"Thousand-Year Elixir","","R","769","5.20","82","","3","","","1","","1","","2","","1","",""
