"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Nightmare Sower","B","U","22036","4.72","3369","6.24","10185","49.1%","49.8%","1736","48.6%","2655","52.7%","4391","51.1%","5853","48.9%","2.2pp"
"Perfect Intimidation","B","U","30790","6.39","3363","9.70","3228","15.3%","49.1%","532","47.4%","770","49.4%","1302","48.5%","1930","49.4%","-0.9pp"
"Requiting Hex","B","U","21453","4.45","3998","5.74","17124","68.5%","52.5%","2946","52.9%","4120","52.4%","7066","52.6%","10066","52.4%","0.1pp"
"Retched Wretch","B","U","25035","5.24","3886","7.01","14392","60.1%","52.5%","2570","50.9%","3461","53.3%","6031","52.3%","8186","52.2%","0.0pp"
"Scarblade Scout","B","C","66753","5.40","12671","6.92","61805","76.9%","56.8%","11028","58.3%","14015","57.6%","25043","57.9%","36016","55.9%","2.0pp"
"Scarblade's Malice","B","C","77505","6.34","9737","9.20","25591","42.3%","53.7%","4309","52.6%","6148","55.7%","10457","54.4%","15146","53.1%","1.3pp"
"Shimmercreep","B","U","25622","5.20","4736","6.91","15653","53.0%","52.5%","2586","52.4%","4149","57.8%","6735","55.7%","8811","49.8%","5.9pp"
"Taster of Wares","B","R","4457","2.73","1628","2.97","10887","82.1%","56.3%","1881","61.8%","2693","61.9%","4574","61.8%","6101","51.7%","10.1pp"
"Twilight Diviner","B","R","5090","2.95","1525","3.42","8259","74.4%","54.2%","1484","55.8%","2011","55.9%","3495","55.9%","4679","52.6%","3.3pp"
"Unbury","B","U","20565","4.19","4626","5.30","22997","79.5%","54.7%","3939","52.1%","5709","58.2%","9648","55.7%","13369","54.0%","1.7pp"
"Ashling, Rekindled","R","R","4903","2.93","1681","3.26","10486","79.3%","55.7%","1923","63.3%","2858","59.1%","4781","60.8%","5542","50.9%","9.9pp"
"Boldwyr Aggressor","R","U","29454","6.16","3844","8.74","6970","29.8%","50.2%","1158","49.9%","1802","51.0%","2960","50.6%","4031","49.9%","0.6pp"
"Boneclub Berserker","R","C","80649","7.25","9475","10.50","18565","31.7%","50.7%","3025","48.4%","4585","50.8%","7610","49.9%","10688","51.0%","-1.2pp"
"Boulder Dash","R","U","19380","4.09","4679","4.95","23742","80.7%","53.7%","4245","53.3%","6172","57.6%","10417","55.8%","13327","52.0%","3.8pp"
"Brambleback Brute","R","C","80229","6.88","10115","9.81","21507","34.4%","51.5%","3723","49.1%","5371","53.6%","9094","51.7%","12471","51.4%","0.4pp"
"Burning Curiosity","R","C","84049","7.37","11164","10.42","19079","27.4%","51.8%","3300","49.1%","4822","53.5%","8122","51.7%","10964","51.8%","-0.1pp"
"Champion of the Path","R","R","5432","3.22","1510","3.71","8214","74.8%","53.4%","1352","55.1%","2277","57.0%","3629","56.3%","4404","50.3%","6.0pp"
"Cinder Strike","R","C","51449","4.25","13388","5.08","73369","86.7%","53.9%","12846","54.1%","19157","56.0%","32003","55.2%","41387","52.9%","2.3pp"
"Collective Inferno","R","R","8040","4.22","1256","5.56","3892","49.1%","50.3%","612","48.2%","1038","49.4%","1650","49.0%","2251","51.2%","-2.2pp"
"Elder Auntie","R","C","75756","6.38","10688","8.85","35205","53.5%","52.4%","6132","51.5%","8493","52.6%","14625","52.1%","20090","52.4%","-0.3pp"
"End-Blaze Epiphany","R","R","4461","2.64","1988","2.83","13397","86.9%","55.6%","2270","58.9%","3523","61.8%","5793","60.6%","7609","51.9%","8.8pp"
"Enraged Flamecaster","R","C","78779","6.77","9688","9.74","23138","38.8%","52.3%","4096","52.2%","5913","53.4%","10009","52.9%","12782","51.3%","1.6pp"
"Explosive Prodigy","R","U","18035","3.87","5525","4.48","30594","84.0%","55.7%","5410","56.2%","8155","60.0%","13565","58.5%","16508","53.1%","5.4pp"
"Feed the Flames","R","C","63079","4.99","11501","6.59","55778","78.1%","53.6%","9333","51.6%","14933","56.9%","24266","54.9%","31529","52.5%","2.3pp"
"Flame-Chain Mauler","R","C","79502","6.73","11658","9.38","35934","49.9%","53.2%","6429","52.5%","9256","54.0%","15685","53.4%","19853","52.8%","0.6pp"
"Flamebraider","R","U","20511","4.42","5407","5.17","28139","79.2%","56.3%","5200","63.2%","7571","56.5%","12771","59.2%","14918","53.7%","5.5pp"
"Flamekin Gildweaver","R","C","77808","6.43","12178","8.72","42468","56.4%","55.0%","7382","55.7%","11687","57.9%","19069","57.0%","22769","53.0%","4.1pp"
"Giantfall","R","U","23019","4.75","4226","6.19","16637","64.0%","52.5%","2780","51.0%","4402","54.7%","7182","53.3%","9468","51.9%","1.3pp"
"Goatnap","R","U","32750","7.28","3644","10.82","1658","7.4%","48.9%","263","","405","","668","47.8%","991","49.5%","-1.8pp"
"Goliath Daydreamer","R","R","4272","2.67","1626","2.79","10297","81.4%","54.0%","1822","54.7%","2718","56.8%","4540","56.0%","5835","52.5%","3.5pp"
"Gristle Glutton","R","C","78906","6.67","12050","9.06","41255","55.0%","53.5%","7322","53.8%","9976","53.5%","17298","53.6%","23508","53.2%","0.4pp"
"Hexing Squelcher","R","R","4798","2.89","1146","3.51","6248","77.2%","51.5%","1135","50.5%","1510","51.8%","2645","51.2%","3544","51.6%","-0.4pp"
"Impolite Entrance","R","U","32637","6.98","3767","10.24","3236","14.1%","48.2%","505","46.9%","780","48.1%","1285","47.6%","1953","48.6%","-1.0pp"
"Kindle the Inner Flame","R","U","31208","6.79","3914","9.76","5335","21.8%","53.3%","854","50.0%","1452","57.0%","2306","54.4%","2902","51.6%","2.8pp"
"Kulrath Zealot","R","C","73809","5.94","12742","7.97","51987","65.3%","55.0%","9115","54.3%","14166","59.5%","23281","57.4%","27949","52.7%","4.7pp"
"Lasting Tarfire","R","U","29540","6.52","3737","9.17","7830","34.4%","49.1%","1328","47.1%","1948","47.6%","3276","47.4%","4558","50.2%","-2.8pp"
"Lavaleaper","R","R","9993","5.09","1265","7.64","1441","18.0%","48.9%","219","","402","","621","48.8%","802","49.0%","-0.2pp"
"Meek Attack","R","M","6132","5.28","752","8.01","54","1.2%","","12","","11","","23","","31","",""
"Reckless Ransacking","R","C","85104","7.67","9575","11.26","7750","13.1%","49.3%","1240","48.1%","1918","50.4%","3158","49.5%","4595","49.2%","0.3pp"
"Scuzzback Scrounger","R","R","5047","2.93","1521","3.26","9623","85.1%","53.6%","1732","56.1%","2482","52.5%","4214","54.0%","5342","53.2%","0.8pp"
"Sear","R","U","13413","2.98","4715","3.42","28200","91.1%","54.4%","4950","55.8%","7447","57.8%","12397","57.0%","15805","52.4%","4.7pp"
"Sizzling Changeling","R","U","21249","4.36","4945","5.34","25550","82.2%","54.3%","4438","53.8%","6635","55.2%","11073","54.6%","14104","53.9%","0.8pp"
"Soul Immolation","R","M","2052","2.35","985","2.49","7081","85.2%","56.7%","1228","58.7%","1877","66.6%","3105","63.5%","3980","51.4%","12.1pp"
"Soulbright Seeker","R","U","26667","5.56","4627","7.25","16747","58.7%","54.4%","2975","56.2%","4533","53.9%","7508","54.8%","9000","53.8%","1.0pp"
"Sourbread Auntie","R","U","21429","4.72","4417","5.82","20069","72.4%","54.3%","3436","54.4%","5014","57.6%","8450","56.3%","11245","52.6%","3.7pp"
