"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Overgrown Tomb","","R","7522","3.55","1588","4.53","12","2.2%","","1","","0","","1","","11","",""
"Steam Vents","","R","8807","3.91","1815","5.14","307","23.4%","","42","","73","","115","","191","",""
"Temple Garden","","R","7762","3.66","1540","4.74","332","30.5%","","52","","85","","137","","195","",""
"Idyllic Tutor","W","R","611","5.35","70","","9","","","2","","1","","3","","6","",""
"Kinsbaile Cavalier","W","R","419","","69","","11","","","1","","3","","4","","7","",""
"Mistbind Clique","U","R","316","","72","","99","","","14","","20","","34","","67","",""
"Wanderwine Prophets","U","R","385","","62","","141","","","21","","30","","51","","87","",""
"Bitterblossom","B","M","128","","80","","8","","","2","","2","","4","","4","",""
"Faerie Macabre","B","C","745","6.35","78","","4","","","0","","0","","0","","4","",""
"Goblin Chieftain","R","R","318","","80","","0","","","0","","0","","0","","0","",""
"Goblin Sharpshooter","R","R","293","","98","","0","","","0","","0","","0","","0","",""
"Heat Shimmer","R","R","578","5.14","69","","0","","","0","","0","","0","","0","",""
"Devoted Druid","G","U","391","","80","","0","","","0","","0","","0","","0","",""
"Helix Pinnacle","G","R","681","5.86","62","","0","","","0","","0","","0","","0","",""
"Leaf-Crowned Visionary","G","R","228","","82","","0","","","0","","0","","0","","0","",""
"Regal Force","G","R","331","","87","","0","","","0","","0","","0","","0","",""
"Manamorphose","RG","U","566","4.57","77","","0","","","0","","0","","0","","0","",""
"Risen Reef","UG","U","405","","91","","17","","","3","","5","","8","","9","",""
"Slippery Bogle","UG","U","674","5.92","82","","16","","","1","","5","","6","","10","",""
"Dolmen Gate","","R","292","","46","","34","","","6","","13","","19","","15","",""
"Door of Destinies","","R","181","","79","","75","","","14","","20","","34","","41","",""
"Painter's Servant","","M","508","4.31","77","","9","","","0","","4","","4","","5","",""
"Thousand-Year Elixir","","R","569","5.24","58","","0","","","0","","0","","0","","0","",""
