"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Bre of Clan Stoutarm","WR","R","13250","2.66","4845","2.88","1203","93.9%","53.0%","201","","319","","520","56.2%","679","50.8%","5.3pp"
"Brigid's Command","WG","R","14708","2.84","4857","3.21","205","","","34","","54","","88","","117","",""
"Catharsis","WR","M","5750","2.05","2357","2.16","365","","","53","","103","","156","","208","",""
"Chaos Spewer","BR","C","249446","6.53","30045","9.51","1325","35.2%","49.9%","200","","344","","544","51.1%","782","49.1%","2.0pp"
"Chitinous Graspling","UG","C","246803","5.82","33654","8.61","2880","60.0%","50.6%","473","","740","49.5%","1213","48.1%","1650","51.9%","-3.9pp"
"Deceit","UB","M","4570","1.73","2761","1.77","86","","","21","","20","","41","","44","",""
"Deepchannel Duelist","WU","U","50764","3.72","15799","4.15","0","","","0","","0","","0","","0","",""
"Deepway Navigator","WU","R","18512","3.36","5250","3.91","0","","","0","","0","","0","","0","",""
"Doran, Besieged by Time","WBG","R","18213","3.28","4960","3.71","235","","","37","","59","","96","","139","",""
"Dream Harvest","UB","R","27776","4.09","4612","5.46","65","","","9","","26","","35","","30","",""
"Eclipsed Boggart","BR","U","68439","4.60","14686","5.60","204","18.5%","","40","","47","","87","","113","",""
"Eclipsed Elf","BG","U","47338","3.35","16111","3.78","559","52.9%","55.8%","91","","140","","231","","324","",""
"Eclipsed Flamekin","UR","U","58436","3.97","18041","4.58","1942","82.7%","52.3%","345","","466","","811","54.6%","1107","50.5%","4.1pp"
"Eclipsed Kithkin","WG","U","50980","3.52","15453","4.08","857","70.7%","53.6%","148","","229","","377","","474","",""
"Eclipsed Merrow","WU","U","56414","3.90","17190","4.44","0","","","0","","0","","0","","0","",""
"Emptiness","WB","M","4312","1.64","2516","1.68","108","","","15","","18","","33","","74","",""
"Feisty Spikeling","WR","C","234687","5.49","34173","7.91","3296","69.1%","49.5%","571","45.4%","745","50.5%","1316","48.3%","1964","50.2%","-2.0pp"
"Figure of Fable","WG","R","7100","1.57","4980","1.60","1022","99.2%","53.2%","177","","253","","430","","582","47.3%",""
"Flaring Cinder","UR","C","239925","6.16","40520","8.35","4177","64.8%","51.8%","712","55.1%","1055","49.9%","1767","52.0%","2383","51.6%","0.4pp"
"Gangly Stompling","RG","C","233477","5.40","37463","7.76","7195","80.1%","51.3%","1304","50.8%","1732","51.4%","3036","51.2%","4102","51.3%","-0.2pp"
"Glister Bairn","UG","U","79329","5.02","12503","7.02","1951","74.6%","50.9%","317","","529","53.9%","846","51.7%","1100","50.6%","1.0pp"
"Grub's Command","BR","R","16635","3.14","5339","3.54","403","51.7%","","63","","111","","174","","229","",""
"High Perfect Morcant","BG","R","10770","2.28","4467","2.48","189","","","37","","50","","87","","100","",""
"Hovel Hurler","WR","U","61322","3.91","12684","5.00","2263","89.0%","52.4%","374","","540","52.4%","914","52.3%","1355","52.4%","-0.1pp"
"Kirol, Attentive First-Year","WR","R","16942","2.95","5674","3.33","705","79.2%","51.8%","125","","180","","305","","399","",""
"Lluwen, Imperfect Naturalist","BG","R","11649","2.31","5074","2.50","842","88.0%","53.8%","153","","225","","378","","459","",""
"Maralen, Fae Ascendant","UBG","R","12216","2.47","4918","2.64","139","","","19","","34","","53","","83","",""
"Merrow Skyswimmer","WU","C","189533","4.62","44595","5.88","75","7.5%","","6","","20","","26","","49","",""
"Mischievous Sneakling","UB","C","215188","4.86","39383","6.81","135","11.6%","","21","","32","","53","","83","",""
"Morcant's Loyalist","BG","U","42033","3.16","14956","3.53","197","32.2%","","28","","54","","82","","114","",""
"Noggle Robber","RG","U","61916","3.91","16968","4.79","7923","98.6%","54.6%","1396","59.1%","1949","56.6%","3345","57.7%","4573","52.5%","5.2pp"
"Prideful Feastling","WB","C","210305","4.75","33855","6.81","281","25.5%","","54","","75","","129","","151","",""
"Raiding Schemes","RG","R","43948","6.05","5577","9.14","184","17.7%","","32","","40","","72","","112","",""
"Reaping Willow","WB","U","48727","3.28","13877","3.91","23","","","5","","5","","10","","13","",""
"Sanar, Innovative First-Year","UR","R","9784","2.02","6059","2.09","1293","98.6%","54.2%","201","","367","","568","58.1%","710","50.7%","7.4pp"
"Shadow Urchin","BR","R","15722","2.84","4853","3.21","715","89.6%","50.8%","139","","175","","314","","404","",""
"Stoic Grove-Guide","BG","C","231046","5.65","33435","8.04","1517","45.4%","51.2%","254","","385","","639","54.1%","875","48.6%","5.6pp"
