"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Gutsplitter Gang","B","U","94085","5.43","13447","7.44","4","0.6%","","0","","0","","0","","4","",""
"Heirloom Auntie","B","C","291961","6.86","33372","10.00","7","0.4%","","2","","0","","2","","5","",""
"Iron-Shield Elf","B","U","69798","4.01","18421","4.79","0","","","0","","0","","0","","0","",""
"Moonglove Extractor","B","C","286743","6.46","35786","9.36","0","0.0%","","0","","0","","0","","0","",""
"Moonshadow","B","M","6416","2.03","2767","2.16","29","","","3","","9","","12","","17","",""
"Mornsong Aria","B","R","49614","5.98","6081","9.18","0","0.0%","","0","","0","","0","","0","",""
"Mudbutton Cursetosser","B","U","86278","4.95","15341","6.31","3","0.5%","","0","","1","","1","","2","",""
"Nameless Inversion","B","U","50958","3.06","17283","3.55","24","","","6","","8","","14","","10","",""
"Nightmare Sower","B","U","89828","5.21","12312","7.23","7","1.2%","","3","","2","","5","","2","",""
"Perfect Intimidation","B","U","116512","6.72","12320","10.25","0","0.0%","","0","","0","","0","","0","",""
"Requiting Hex","B","U","84758","4.73","13200","6.40","0","0.0%","","0","","0","","0","","0","",""
"Retched Wretch","B","U","96370","5.49","13787","7.56","1","0.2%","","0","","1","","1","","0","",""
"Scarblade Scout","B","C","236475","5.17","47644","6.62","0","0.0%","","0","","0","","0","","0","",""
"Scarblade's Malice","B","C","291245","6.54","35628","9.57","0","0.0%","","0","","0","","0","","0","",""
"Shimmercreep","B","U","93482","5.08","17132","6.84","247","22.3%","","42","","57","","99","","143","",""
"Taster of Wares","B","R","16867","2.79","6409","3.03","61","","","9","","16","","25","","34","",""
"Twilight Diviner","B","R","19941","3.07","5655","3.60","7","","","1","","1","","2","","5","",""
"Unbury","B","U","70855","3.96","16887","4.94","61","","","10","","19","","29","","33","",""
"Ashling, Rekindled","R","R","16370","2.76","6330","3.02","855","76.1%","52.5%","153","","209","","362","","487","",""
"Boldwyr Aggressor","R","U","108946","6.32","13835","9.16","5510","79.2%","51.1%","919","51.4%","1374","53.2%","2293","52.5%","3237","50.1%","2.4pp"
"Boneclub Berserker","R","C","300288","7.39","34582","10.75","716","12.9%","47.2%","108","","188","","296","","415","",""
"Boulder Dash","R","U","69703","3.98","17518","4.85","4760","93.5%","51.8%","879","51.1%","1097","56.3%","1976","54.0%","2786","50.2%","3.8pp"
"Brambleback Brute","R","C","298005","6.98","37170","10.07","11313","76.6%","51.4%","1988","47.3%","2758","54.1%","4746","51.2%","6574","51.5%","-0.3pp"
"Burning Curiosity","R","C","308999","7.28","43121","10.22","5975","54.5%","50.8%","977","46.0%","1515","52.2%","2492","49.8%","3486","51.6%","-1.8pp"
"Champion of the Path","R","R","19070","3.13","5665","3.59","900","77.3%","50.9%","152","","220","","372","","514","53.1%",""
"Cinder Strike","R","C","184336","4.09","49654","4.97","14828","98.2%","52.9%","2570","54.3%","3579","54.6%","6149","54.5%","8681","51.8%","2.6pp"
"Collective Inferno","R","R","31831","4.48","4754","6.26","359","46.1%","","55","","85","","140","","220","",""
"Elder Auntie","R","C","287195","6.68","38127","9.46","4741","50.7%","50.0%","846","49.6%","1103","50.0%","1949","49.8%","2782","50.1%","-0.3pp"
