"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Prismabasher","G","U","58812","3.89","15340","4.68","77537","77.7%","53.9%","12801","52.4%","19886","59.2%","32687","56.5%","44389","51.8%","4.7pp"
"Prismatic Undercurrents","G","U","95564","6.27","11880","9.16","16673","22.6%","48.0%","2803","45.3%","4274","51.3%","7077","48.9%","9602","47.3%","1.6pp"
"Pummeler for Hire","G","U","64733","4.15","14517","5.20","68567","73.5%","53.8%","11340","52.7%","17621","57.4%","28961","55.5%","39642","52.6%","2.9pp"
"Safewright Cavalry","G","C","214132","5.31","39153","7.10","187264","73.9%","55.9%","31459","54.5%","45426","57.5%","76885","56.3%","107577","55.2%","1.1pp"
"Sapling Nursery","G","R","13665","2.68","4686","2.90","28397","77.9%","53.7%","4755","55.8%","7220","56.9%","11975","56.5%","16485","51.7%","4.8pp"
"Selfless Safewright","G","R","11502","2.26","4988","2.46","34043","85.8%","55.1%","5562","53.5%","8319","59.1%","13881","56.9%","19608","53.5%","3.4pp"
"Shimmerwilds Growth","G","U","81020","5.22","12726","7.06","40955","51.4%","50.1%","7618","49.9%","9927","50.6%","17545","50.3%","23431","50.0%","0.3pp"
"Spry and Mighty","G","R","16874","2.99","5330","3.36","29658","79.1%","52.8%","4897","50.8%","7251","55.4%","12148","53.6%","17534","52.2%","1.4pp"
"Surly Farrier","G","C","243721","6.12","34744","8.63","122811","55.3%","54.5%","22528","54.4%","26889","53.3%","49417","53.8%","72320","54.7%","-0.9pp"
"Tend the Sprigs","G","C","258448","6.80","28975","10.12","41039","22.6%","49.0%","7269","45.1%","10216","52.6%","17485","49.5%","23568","48.5%","0.9pp"
"Thoughtweft Charge","G","U","82901","5.12","12936","7.09","51324","62.1%","54.2%","8488","52.6%","12033","55.4%","20521","54.2%","30823","54.2%","0.1pp"
"Trystan, Callous Cultivator","G","R","12883","2.54","5169","2.81","36647","84.4%","57.4%","6560","62.0%","9126","59.8%","15686","60.7%","20238","54.5%","6.2pp"
"Unforgiving Aim","G","C","264775","7.01","29512","10.49","40055","21.4%","51.7%","6537","49.0%","9535","52.9%","16072","51.3%","24010","51.9%","-0.6pp"
