"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Diaochan, Artful Beauty","R","M","1016","5.57","117","","27","3.9%","","3","","7","","10","","17","",""
"Dockside Extortionist","R","M","887","5.13","80","","73","13.7%","","15","","21","","36","","37","",""
"Fervor","R","M","985","5.85","92","","34","4.9%","","5","","5","","10","","24","",""
"Humble Defector","R","M","1135","6.18","154","","182","17.3%","","23","","47","","70","","113","",""
"Insurrection","R","M","745","4.61","122","","390","42.8%","","52","","91","","143","","248","",""
"Lightning Bolt","R","M","312","","143","","1006","88.4%","55.3%","180","","240","","420","","585","55.0%",""
"Mirrorwing Dragon","R","M","346","","119","","790","80.6%","54.9%","120","","205","","325","","466","",""
"Rending Volley","R","M","1182","6.34","128","","109","12.5%","","21","","24","","45","","64","",""
"Searing Blood","R","M","805","4.34","140","","609","63.4%","52.1%","92","","159","","251","","358","",""
"Shattering Spree","R","M","1191","6.70","125","","10","1.3%","","0","","4","","4","","6","",""
"Volcanic Torrent","R","M","754","4.46","178","","888","68.0%","58.4%","158","","231","","389","","497","",""
"Warstorm Surge","R","M","678","4.37","81","","219","37.2%","","26","","65","","91","","130","",""
"Beastmaster Ascension","G","M","618","3.99","79","","317","53.0%","","53","","54","","107","","210","",""
"Elemental Bond","G","M","685","4.38","102","","246","36.1%","","52","","57","","109","","137","",""
"The Great Henge","G","M","290","","115","","894","83.6%","55.6%","174","","236","","410","","483","",""
"Heartbeat of Spring","G","M","1040","6.00","114","","6","0.8%","","2","","1","","3","","3","",""
"Heroic Intervention","G","M","767","4.47","105","","301","41.7%","","36","","74","","110","","191","",""
"Return of the Wildspeaker","G","M","827","4.63","122","","319","37.2%","","52","","75","","127","","192","",""
"Rites of Flourishing","G","M","1132","6.02","105","","13","1.9%","","0","","5","","5","","8","",""
"Taunting Challenge","G","M","1141","6.40","127","","121","14.5%","","16","","30","","46","","75","",""
"Captain Sisay","WG","M","697","4.12","135","","525","57.3%","49.1%","88","","136","","224","","300","",""
"Eladamri's Call","WG","M","836","5.23","125","","151","18.3%","","29","","39","","68","","84","",""
"Fevered Visions","UR","M","997","5.31","94","","121","18.1%","","18","","41","","59","","62","",""
"Join the Dance","WG","M","1048","5.43","145","","399","41.7%","","70","","94","","164","","235","",""
